"";"Ref";"Event";"C_Corr";"C_Prev";"Date";"Category";"Cat1";"Cat2";"Cat3"
"722";"GMC-CLO-101";TRUE;3026,15622811649;80,6312900526012;2020-01-17 16:47:38;"GMC-CLO-";"GMC-";"CLO-";"101"
"2444";"VOLVCLO-104";TRUE;2791,46011854034;95,6140691177978;2017-11-25 00:49:03;"VOLVCLO-";"VOLV";"CLO-";"104"
"1870";"MERCCLO-103";TRUE;3311,15502179908;98,2145791371737;2022-03-09 22:44:35;"MERCCLO-";"MERC";"CLO-";"103"
"3560";"GMC-MED-105";TRUE;3389,61362998706;103,96636306455;2039-03-16 19:00:03;"GMC-MED-";"GMC-";"MED-";"105"
"608";"VOLVCLO-101";TRUE;3868,47248096296;112,453942383267;2021-02-19 20:50:23;"VOLVCLO-";"VOLV";"CLO-";"101"
"2974";"GMC-MED-104";TRUE;3018,94046746395;100,155180440231;2018-09-27 05:15:16;"GMC-MED-";"GMC-";"MED-";"104"
"1142";"MERCMED-101";TRUE;2760,77058612943;107,530164956805;2018-01-08 10:59:40;"MERCMED-";"MERC";"MED-";"101"
"2152";"MERCBQA-103";TRUE;3668,5000670602;91,2227556628781;2020-03-10 17:24:31;"MERCBQA-";"MERC";"BQA-";"103"
"99";"MERCCLO-100";TRUE;2914,69837990568;106,796239372034;2023-01-16 16:06:54;"MERCCLO-";"MERC";"CLO-";"100"
"2754";"MERCBQA-104";TRUE;3299,47226683615;68,9729919941848;2019-07-29 17:00:56;"MERCBQA-";"MERC";"BQA-";"104"
"2398";"GMC-MED-103";TRUE;2981,96983111694;110,211835682594;2030-03-17 22:49:46;"GMC-MED-";"GMC-";"MED-";"103"
"3486";"VOLVMED-105";TRUE;2800,74239842305;111,733693479533;2016-11-12 02:46:03;"VOLVMED-";"VOLV";"MED-";"105"
"1986";"VOLVBOG-103";TRUE;2800,74239842305;111,733693479533;2017-02-26 14:33:55;"VOLVBOG-";"VOLV";"BOG-";"103"
"1750";"MERCMED-102";TRUE;3537,54356815977;116,045765732083;2021-01-20 18:18:43;"MERCMED-";"MERC";"MED-";"102"
"1502";"VOLVBQA-102";TRUE;3668,5000670602;91,2227556628781;2019-06-12 01:26:04;"VOLVBQA-";"VOLV";"BQA-";"102"
"1092";"VOLVMED-101";TRUE;2760,77058612943;107,530164956805;2015-12-29 20:10:30;"VOLVMED-";"VOLV";"MED-";"101"
"2775";"MERCBQA-104";TRUE;3175,86565164881;102,417528115128;2018-10-16 22:52:49;"MERCBQA-";"MERC";"BQA-";"104"
"1218";"VOLVCLO-102";TRUE;2885,86166586373;91,4322323153191;2022-07-11 13:37:36;"VOLVCLO-";"VOLV";"CLO-";"102"
"1678";"VOLVMED-102";TRUE;3781,64901404481;114,564624661378;2016-01-03 11:00:49;"VOLVMED-";"VOLV";"MED-";"102"
"2584";"VOLVBOG-104";TRUE;2880,24426263342;123,500476235491;2019-04-19 05:38:43;"VOLVBOG-";"VOLV";"BOG-";"104"
"392";"MERCBQA-100";TRUE;2760,77058612943;107,530164956805;2017-02-27 14:34:33;"MERCBQA-";"MERC";"BQA-";"100"
"3235";"MERCBOG-105";TRUE;3487,42597184764;89,8017380627335;2025-07-03 21:18:25;"MERCBOG-";"MERC";"BOG-";"105"
"3201";"MERCBOG-105";TRUE;3168,96041928364;89,7210938493328;2024-03-26 09:57:24;"MERCBOG-";"MERC";"BOG-";"105"
"2537";"GMC-CLO-104";TRUE;3387,93180061227;110,755934887103;2019-11-29 18:12:00;"GMC-CLO-";"GMC-";"CLO-";"104"
"324";"VOLVBQA-100";TRUE;3018,94046746395;100,155180440231;2016-02-23 21:52:20;"VOLVBQA-";"VOLV";"BQA-";"100"
"1071";"VOLVMED-101";TRUE;3219,08347909678;106,834966233786;2016-01-15 17:12:08;"VOLVMED-";"VOLV";"MED-";"101"
"1137";"MERCMED-101";TRUE;3387,93180061227;110,755934887103;2020-12-13 07:47:50;"MERCMED-";"MERC";"MED-";"101"
"2190";"MERCBQA-103";TRUE;3227,15644285144;99,11463563976;2020-05-24 03:41:10;"MERCBQA-";"MERC";"BQA-";"103"
"1224";"VOLVCLO-102";TRUE;3018,94046746395;100,155180440231;2016-06-03 01:19:50;"VOLVCLO-";"VOLV";"CLO-";"102"
"1910";"GMC-CLO-103";TRUE;3389,61362998706;103,96636306455;2038-12-15 07:04:01;"GMC-CLO-";"GMC-";"CLO-";"103"
"1438";"MERCBOG-102";TRUE;2295,24247892903;67,5768877926589;2030-06-08 14:16:58;"MERCBOG-";"MERC";"BOG-";"102"
"572";"GMC-MED-100";TRUE;3026,15622811649;80,6312900526012;2018-11-27 21:18:54;"GMC-MED-";"GMC-";"MED-";"100"
"1399";"VOLVBOG-102";TRUE;2914,69837990568;106,796239372034;2017-04-11 16:43:46;"VOLVBOG-";"VOLV";"BOG-";"102"
"2019";"MERCBOG-103";TRUE;4061,32213436891;104,174391237608;2025-02-21 14:21:39;"MERCBOG-";"MERC";"BOG-";"103"
"3123";"GMC-CLO-105";TRUE;3078,17884203001;83,8115568487274;2016-06-20 23:04:57;"GMC-CLO-";"GMC-";"CLO-";"105"
"3597";"GMC-MED-105";TRUE;3258,80531710042;108,729284928119;2017-03-16 07:51:33;"GMC-MED-";"GMC-";"MED-";"105"
"3258";"GMC-BOG-105";TRUE;3868,47248096296;112,453942383267;2053-06-22 08:47:03;"GMC-BOG-";"GMC-";"BOG-";"105"
"2452";"MERCCLO-104";TRUE;3668,5000670602;91,2227556628781;2024-10-09 14:52:00;"MERCCLO-";"MERC";"CLO-";"104"
"1524";"VOLVBQA-102";TRUE;3018,94046746395;100,155180440231;2016-03-06 12:10:23;"VOLVBQA-";"VOLV";"BQA-";"102"
"2522";"GMC-CLO-104";TRUE;3026,15622811649;80,6312900526012;2019-11-20 02:59:23;"GMC-CLO-";"GMC-";"CLO-";"104"
"2076";"GMC-BOG-103";TRUE;2827,07784479381;89,7106091175006;2020-09-23 14:44:13;"GMC-BOG-";"GMC-";"BOG-";"103"
"500";"VOLVMED-100";TRUE;3537,54356815977;116,045765732083;2016-02-07 17:51:21;"VOLVMED-";"VOLV";"MED-";"100"
"2034";"MERCBOG-103";TRUE;2880,24426263342;123,500476235491;2025-01-18 17:08:10;"MERCBOG-";"MERC";"BOG-";"103"
"1106";"MERCMED-101";TRUE;3468,83226061949;96,7250577844403;2021-10-25 16:54:28;"MERCMED-";"MERC";"MED-";"101"
"969";"MERCBQA-101";TRUE;4061,32213436891;104,174391237608;2019-11-20 06:51:32;"MERCBQA-";"MERC";"BQA-";"101"
"3374";"MERCBQA-105";TRUE;3018,94046746395;100,155180440231;2019-01-11 16:00:03;"MERCBQA-";"MERC";"BQA-";"105"
"1471";"GMC-BOG-102";TRUE;3219,08347909678;106,834966233786;2016-12-14 19:27:09;"GMC-BOG-";"GMC-";"BOG-";"102"
"3007";"VOLVCLO-105";TRUE;3167,77603086998;91,5650485499193;2018-02-20 03:48:18;"VOLVCLO-";"VOLV";"CLO-";"105"
"66";"MERCCLO-100";TRUE;2750,26501998437;102,030524765256;2023-07-22 22:40:44;"MERCCLO-";"MERC";"CLO-";"100"
"1317";"GMC-CLO-102";TRUE;3307,41486077546;100,698634997642;2048-09-22 23:22:38;"GMC-CLO-";"GMC-";"CLO-";"102"
"243";"MERCBOG-100";TRUE;4098,9097085664;98,0963154669283;2019-10-10 11:29:28;"MERCBOG-";"MERC";"BOG-";"100"
"3539";"MERCMED-105";TRUE;2693,79618043234;100,63702577562;2019-12-15 04:55:29;"MERCMED-";"MERC";"MED-";"105"
"869";"GMC-BOG-101";TRUE;4061,32213436891;104,174391237608;2035-07-16 08:20:40;"GMC-BOG-";"GMC-";"BOG-";"101"
"725";"GMC-CLO-101";TRUE;3175,86565164881;102,417528115128;2019-08-17 01:35:16;"GMC-CLO-";"GMC-";"CLO-";"101"
"2687";"GMC-BOG-104";TRUE;3387,93180061227;110,755934887103;2019-09-03 04:13:45;"GMC-BOG-";"GMC-";"BOG-";"104"
"3575";"GMC-MED-105";TRUE;3175,86565164881;102,417528115128;2018-12-01 01:22:31;"GMC-MED-";"GMC-";"MED-";"105"
"2736";"VOLVBQA-104";TRUE;2800,74239842305;111,733693479533;2016-06-25 23:36:42;"VOLVBQA-";"VOLV";"BQA-";"104"
"1741";"MERCMED-102";TRUE;2862,85957673811;79,9789367432566;2020-07-27 10:21:24;"MERCMED-";"MERC";"MED-";"102"
"478";"VOLVMED-100";TRUE;3781,64901404481;114,564624661378;2016-01-02 04:53:21;"VOLVMED-";"VOLV";"MED-";"100"
"2560";"VOLVBOG-104";TRUE;3389,61362998706;103,96636306455;2027-01-08 14:17:11;"VOLVBOG-";"VOLV";"BOG-";"104"
"1202";"VOLVCLO-102";TRUE;3668,5000670602;91,2227556628781;2022-01-09 20:58:07;"VOLVCLO-";"VOLV";"CLO-";"102"
"796";"VOLVBOG-101";TRUE;3694,36722028799;102,657297675715;2022-08-14 21:11:34;"VOLVBOG-";"VOLV";"BOG-";"101"
"2601";"MERCBOG-104";TRUE;3168,96041928364;89,7210938493328;2023-10-22 21:58:43;"MERCBOG-";"MERC";"BOG-";"104"
"2795";"MERCBQA-104";TRUE;2848,80441607821;96,7881976351315;2019-04-25 16:13:12;"MERCBQA-";"MERC";"BQA-";"104"
"3348";"VOLVBQA-105";TRUE;2981,96983111694;110,211835682594;2017-08-04 08:56:57;"VOLVBQA-";"VOLV";"BQA-";"105"
"1951";"VOLVBOG-103";TRUE;3168,96041928364;89,7210938493328;2017-01-04 20:03:31;"VOLVBOG-";"VOLV";"BOG-";"103"
"1302";"GMC-CLO-102";TRUE;3668,5000670602;91,2227556628781;2044-10-14 18:23:39;"GMC-CLO-";"GMC-";"CLO-";"102"
"214";"MERCBOG-100";TRUE;2985,13266902311;100,666825559609;2027-05-27 16:12:12;"MERCBOG-";"MERC";"BOG-";"100"
"439";"GMC-BQA-100";TRUE;2693,79618043234;100,63702577562;2016-05-28 23:57:59;"GMC-BQA-";"GMC-";"BQA-";"100"
"1234";"VOLVCLO-102";TRUE;2880,24426263342;123,500476235491;2018-08-20 09:48:01;"VOLVCLO-";"VOLV";"CLO-";"102"
"222";"MERCBOG-100";TRUE;3026,15622811649;80,6312900526012;2022-10-09 14:16:10;"MERCBOG-";"MERC";"BOG-";"100"
"584";"GMC-MED-100";TRUE;2880,24426263342;123,500476235491;2028-06-21 05:46:25;"GMC-MED-";"GMC-";"MED-";"100"
"283";"GMC-BOG-100";TRUE;2673,39240567008;86,6971866054527;2049-08-11 19:46:08;"GMC-BOG-";"GMC-";"BOG-";"100"
"303";"VOLVBQA-100";TRUE;3556,37883474677;87,2620945733379;2016-08-21 11:41:14;"VOLVBQA-";"VOLV";"BQA-";"100"
"467";"VOLVMED-100";TRUE;3307,41486077546;100,698634997642;2022-12-22 02:30:22;"VOLVMED-";"VOLV";"MED-";"100"
"2037";"MERCBOG-103";TRUE;3387,93180061227;110,755934887103;2022-09-25 23:47:21;"MERCBOG-";"MERC";"BOG-";"103"
"2100";"GMC-BOG-103";TRUE;3537,54356815977;116,045765732083;2018-01-23 04:31:39;"GMC-BOG-";"GMC-";"BOG-";"103"
"1621";"GMC-BQA-102";TRUE;3219,08347909678;106,834966233786;2016-07-28 04:10:51;"GMC-BQA-";"GMC-";"BQA-";"102"
"3012";"VOLVCLO-105";TRUE;3451,28804359749;114,243662319301;2016-05-08 21:56:09;"VOLVCLO-";"VOLV";"CLO-";"105"
"2221";"GMC-BQA-103";TRUE;3219,08347909678;106,834966233786;2016-07-30 02:40:30;"GMC-BQA-";"GMC-";"BQA-";"103"
"2259";"VOLVMED-103";TRUE;3959,65465027015;86,3443275831915;2017-07-01 14:36:24;"VOLVMED-";"VOLV";"MED-";"103"
"2065";"GMC-BOG-103";TRUE;3639,84548099224;100,720255069706;2020-06-11 07:35:10;"GMC-BOG-";"GMC-";"BOG-";"103"
"2180";"MERCBQA-103";TRUE;3063,08001353481;94,9072280466005;2018-03-19 17:07:28;"MERCBQA-";"MERC";"BQA-";"103"
"3242";"MERCBOG-105";TRUE;2760,77058612943;107,530164956805;2018-09-22 11:29:57;"MERCBOG-";"MERC";"BOG-";"105"
"1713";"MERCMED-102";TRUE;3047,01942053714;100,747960505768;2019-07-01 07:56:35;"MERCMED-";"MERC";"MED-";"102"
"3093";"MERCCLO-105";TRUE;4098,9097085664;98,0963154669283;2020-04-30 12:33:38;"MERCCLO-";"MERC";"CLO-";"105"
"12";"VOLVCLO-100";TRUE;3451,28804359749;114,243662319301;2016-04-18 13:14:33;"VOLVCLO-";"VOLV";"CLO-";"100"
"462";"VOLVMED-100";TRUE;3451,28804359749;114,243662319301;2016-03-15 15:05:06;"VOLVMED-";"VOLV";"MED-";"100"
"3010";"VOLVCLO-105";TRUE;3389,61362998706;103,96636306455;2021-01-17 23:03:12;"VOLVCLO-";"VOLV";"CLO-";"105"
"3186";"VOLVBOG-105";TRUE;2800,74239842305;111,733693479533;2017-03-23 23:13:10;"VOLVBOG-";"VOLV";"BOG-";"105"
"221";"MERCBOG-100";TRUE;3219,08347909678;106,834966233786;2020-12-04 06:11:36;"MERCBOG-";"MERC";"BOG-";"100"
"3008";"VOLVCLO-105";TRUE;3868,47248096296;112,453942383267;2020-10-09 23:30:16;"VOLVCLO-";"VOLV";"CLO-";"105"
"237";"MERCBOG-100";TRUE;3387,93180061227;110,755934887103;2022-10-14 02:54:49;"MERCBOG-";"MERC";"BOG-";"100"
"1867";"MERCCLO-103";TRUE;3307,41486077546;100,698634997642;2024-09-17 15:56:32;"MERCCLO-";"MERC";"CLO-";"103"
"2032";"MERCBOG-103";TRUE;2777,06062969319;123,803618032009;2023-10-22 22:19:54;"MERCBOG-";"MERC";"BOG-";"103"
"1800";"GMC-MED-102";TRUE;3537,54356815977;116,045765732083;2017-11-07 22:02:29;"GMC-MED-";"GMC-";"MED-";"102"
"2042";"MERCBOG-103";TRUE;2760,77058612943;107,530164956805;2018-08-05 19:03:31;"MERCBOG-";"MERC";"BOG-";"103"
"3014";"VOLVCLO-105";TRUE;2985,13266902311;100,666825559609;2021-02-28 02:24:14;"VOLVCLO-";"VOLV";"CLO-";"105"
"103";"GMC-CLO-100";TRUE;3556,37883474677;87,2620945733379;2025-04-30 13:20:01;"GMC-CLO-";"GMC-";"CLO-";"100"
"121";"GMC-CLO-100";TRUE;3219,08347909678;106,834966233786;2017-03-02 21:14:50;"GMC-CLO-";"GMC-";"CLO-";"100"
"367";"MERCBQA-100";TRUE;3307,41486077546;100,698634997642;2020-08-06 12:10:45;"MERCBQA-";"MERC";"BQA-";"100"
"718";"GMC-CLO-101";TRUE;2885,86166586373;91,4322323153191;2041-06-23 13:06:59;"GMC-CLO-";"GMC-";"CLO-";"101"
"3565";"GMC-MED-105";TRUE;3639,84548099224;100,720255069706;2019-08-18 06:41:48;"GMC-MED-";"GMC-";"MED-";"105"
"2630";"MERCBOG-104";TRUE;3063,08001353481;94,9072280466005;2020-09-06 14:47:38;"MERCBOG-";"MERC";"BOG-";"104"
"3439";"GMC-BQA-105";TRUE;2693,79618043234;100,63702577562;2016-07-18 01:22:22;"GMC-BQA-";"GMC-";"BQA-";"105"
"1060";"VOLVMED-101";TRUE;3389,61362998706;103,96636306455;2021-07-27 06:29:53;"VOLVMED-";"VOLV";"MED-";"101"
"2708";"VOLVBQA-104";TRUE;3868,47248096296;112,453942383267;2019-01-22 14:43:02;"VOLVBQA-";"VOLV";"BQA-";"104"
"96";"MERCCLO-100";TRUE;3694,36722028799;102,657297675715;2024-09-06 11:03:31;"MERCCLO-";"MERC";"CLO-";"100"
"2963";"GMC-MED-104";TRUE;3047,01942053714;100,747960505768;2016-03-28 14:25:01;"GMC-MED-";"GMC-";"MED-";"104"
"1568";"MERCBQA-102";TRUE;2885,86166586373;91,4322323153191;2021-03-10 22:14:53;"MERCBQA-";"MERC";"BQA-";"102"
"435";"GMC-BQA-100";TRUE;3487,42597184764;89,8017380627335;2022-12-02 20:45:54;"GMC-BQA-";"GMC-";"BQA-";"100"
"2349";"MERCMED-103";TRUE;2914,69837990568;106,796239372034;2021-07-27 15:15:46;"MERCMED-";"MERC";"MED-";"103"
"3319";"VOLVBQA-105";TRUE;4061,32213436891;104,174391237608;2017-03-15 21:08:34;"VOLVBQA-";"VOLV";"BQA-";"105"
"3129";"GMC-CLO-105";TRUE;3365,30690095832;96,9296390157773;2023-05-18 08:35:26;"GMC-CLO-";"GMC-";"CLO-";"105"
"1924";"GMC-CLO-103";TRUE;3018,94046746395;100,155180440231;2019-12-17 08:50:04;"GMC-CLO-";"GMC-";"CLO-";"103"
"2285";"VOLVMED-103";TRUE;3487,42597184764;89,8017380627335;2017-09-25 05:10:56;"VOLVMED-";"VOLV";"MED-";"103"
"3270";"GMC-BOG-105";TRUE;3311,15502179908;98,2145791371737;2020-08-26 12:17:01;"GMC-BOG-";"GMC-";"BOG-";"105"
"717";"GMC-CLO-101";TRUE;3307,41486077546;100,698634997642;2043-05-03 00:50:21;"GMC-CLO-";"GMC-";"CLO-";"101"
"2228";"GMC-BQA-103";TRUE;3781,64901404481;114,564624661378;2016-03-30 04:56:10;"GMC-BQA-";"GMC-";"BQA-";"103"
"699";"MERCCLO-101";TRUE;2914,69837990568;106,796239372034;2023-01-05 06:15:12;"MERCCLO-";"MERC";"CLO-";"101"
"1177";"GMC-MED-101";TRUE;2300,97478826975;97,2531367388604;2026-11-19 11:02:25;"GMC-MED-";"GMC-";"MED-";"101"
"876";"GMC-BOG-101";TRUE;2827,07784479381;89,7106091175006;2020-08-16 10:48:24;"GMC-BOG-";"GMC-";"BOG-";"101"
"3228";"MERCBOG-105";TRUE;3781,64901404481;114,564624661378;2020-05-18 17:12:32;"MERCBOG-";"MERC";"BOG-";"105"
"2887";"VOLVMED-104";TRUE;3387,93180061227;110,755934887103;2016-04-08 23:21:53;"VOLVMED-";"VOLV";"MED-";"104"
"1085";"VOLVMED-101";TRUE;3487,42597184764;89,8017380627335;2017-11-20 23:40:27;"VOLVMED-";"VOLV";"MED-";"101"
"1324";"GMC-CLO-102";TRUE;3018,94046746395;100,155180440231;2020-06-05 03:24:38;"GMC-CLO-";"GMC-";"CLO-";"102"
"2498";"MERCCLO-104";TRUE;2981,96983111694;110,211835682594;2024-03-03 05:20:09;"MERCCLO-";"MERC";"CLO-";"104"
"922";"VOLVBQA-101";TRUE;3026,15622811649;80,6312900526012;2016-03-02 20:49:28;"VOLVBQA-";"VOLV";"BQA-";"101"
"651";"MERCCLO-101";TRUE;3168,96041928364;89,7210938493328;2022-12-18 13:49:57;"MERCCLO-";"MERC";"CLO-";"101"
"2108";"VOLVBQA-103";TRUE;3868,47248096296;112,453942383267;2018-07-06 10:03:20;"VOLVBQA-";"VOLV";"BQA-";"103"
"1418";"MERCBOG-102";TRUE;2885,86166586373;91,4322323153191;2028-12-22 22:23:38;"MERCBOG-";"MERC";"BOG-";"102"
"2464";"MERCCLO-104";TRUE;2985,13266902311;100,666825559609;2024-12-02 03:38:22;"MERCCLO-";"MERC";"CLO-";"104"
"2981";"GMC-MED-104";TRUE;2294,21829086763;105,881499047367;2026-12-05 21:49:27;"GMC-MED-";"GMC-";"MED-";"104"
