"";"Ref";"Event";"C_Corr";"C_Prev";"Date";"Category";"Cat1";"Cat2";"Cat3"
"45";"ABBOTT IMX 31002";TRUE;0;0;"14/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"31002"
"46";"BIOSYSTEMS A-25 831010521";FALSE;0;0;"14/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010521"
"47";"BIOSYSTEMS A-15 831050164";FALSE;0;0;"13/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050164"
"48";"ABBOTT IMX 18159";TRUE;0;0;"13/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"18159"
"49";"ABBOTT AXSYM 11842";TRUE;0;0;"13/12/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"11842"
"50";"BIOSYSTEMS BTS-330 801541425";TRUE;0;0;"13/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801541425"
"51";"BIOSYSTEMS A-15 831050160";FALSE;0;0;"12/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050160"
"52";"ABBOTT IMX 17022";FALSE;0;0;"12/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"17022"
"53";"DIATRON ABACUS JR 110420";FALSE;0;0;"12/12/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110420"
"54";"ABBOTT SUNRISE ";TRUE;0;0;"12/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"55";"DIATRON ABACUS JR 111018";TRUE;0;0;"12/12/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"111018"
"56";"DIATRON ARCUS 901431";TRUE;0;0;"12/12/2006";"DIATRON ARCUS";"DIATRON";"ARCUS";"901431"
"57";"BIOSYSTEMS BTS-330 801340484";TRUE;0;0;"12/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340484"
"58";"ABBOTT AXSYM 2804";TRUE;0;0;"11/12/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"2804"
"59";"BIOSYSTEMS A-15 831050165";TRUE;0;0;"11/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050165"
"60";"BIOSYSTEMS A-25 831011504";TRUE;0;0;"11/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011504"
"61";"ABBOTT IMX 18159";TRUE;0;0;"11/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"18159"
"62";"BIOSYSTEMS BTS-310 801035743";FALSE;0;0;"11/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801035743"
"63";"BIOSYSTEMS A-15 831050132";FALSE;0;0;"09/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050132"
"64";"ABBOTT SUNRISE 61263AF";TRUE;0;0;"09/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"61263AF"
"65";"BIOSYSTEMS A-15 831050165";FALSE;0;0;"07/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050165"
"66";"ABBOTT SUNRISE 50530U";FALSE;0;0;"07/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"50530U"
"67";"BIOSYSTEMS BTS-310 801034603";TRUE;0;0;"06/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801034603"
"68";"BIOSYSTEMS BTS-310 801035728";TRUE;0;0;"06/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801035728"
"69";"BIOSYSTEMS BTS-310 801031210";TRUE;0;0;"06/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031210"
"70";"BIOSYSTEMS A-15 831050130";TRUE;0;0;"06/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050130"
"71";"ABBOTT SUNRISE ";TRUE;0;0;"06/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"72";"BIOSYSTEMS A-25 831011205";FALSE;0;0;"06/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011205"
"73";"ABBOTT CELL DYN 3200 509530";FALSE;0;0;"05/12/2006";"ABBOTT CELL DYN 3200";"ABBOTT";"CELL DYN 3200";"509530"
"74";"BIOSYSTEMS BTS-330 801341187";TRUE;0;0;"05/12/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801341187"
"75";"ABBOTT i2000sr isr01976";FALSE;0;0;"05/12/2006";"ABBOTT i2000sr";"ABBOTT";"i2000sr";"isr01976"
"76";"BIOSYSTEMS BTS-310 801030699";FALSE;0;0;"05/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801030699"
"77";"ABBOTT AXSYM 20119";TRUE;0;0;"05/12/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"20119"
"78";"ABBOTT SUNRISE ";TRUE;0;0;"05/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"79";"ARKRAY AUTION MINI 302084";FALSE;0;0;"04/12/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"302084"
"80";"ABBOTT SUNRISE ";FALSE;0;0;"04/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"81";"ABBOTT AXSYM 14042";TRUE;0;0;"04/12/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"14042"
"82";"BIOSYSTEMS A-15 831050131";TRUE;0;0;"04/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050131"
"83";"ABBOTT IMX 18159";TRUE;0;0;"04/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"18159"
"84";"BIOSYSTEMS A-25 831011560";FALSE;0;0;"04/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011560"
"85";"BIOSYSTEMS BTS-310 801032975";TRUE;0;0;"02/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801032975"
"86";"ABBOTT SUNRISE 61263AF";TRUE;0;0;"02/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"61263AF"
"87";"ABBOTT IMX 18159";TRUE;0;0;"02/12/2006";"ABBOTT IMX";"ABBOTT";"IMX";"18159"
"88";"BIOSYSTEMS A-15 831050131";TRUE;0;0;"01/12/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050131"
"89";"BIOSYSTEMS A-25 831010545";TRUE;0;0;"01/12/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010545"
"90";"BIOSYSTEMS BTS-310 801031114";TRUE;0;0;"01/12/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031114"
"91";"ABBOTT SUNRISE ";TRUE;0;0;"01/12/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"92";"BIOSYSTEMS A-15 831050131";TRUE;0;0;"30/11/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050131"
"93";"BIOSYSTEMS BTS-310 801031114";TRUE;0;0;"30/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031114"
"94";"DIATRON ABACUS JR 110779";FALSE;0;0;"29/11/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110779"
"95";"BIOSYSTEMS BTS-330 801341836";FALSE;0;0;"29/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801341836"
"96";"ABBOTT IMX 41304";TRUE;0;0;"29/11/2006";"ABBOTT IMX";"ABBOTT";"IMX";"41304"
"97";"BIOSYSTEMS BTS-330 801342154";TRUE;0;0;"29/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801342154"
"98";"BIOSYSTEMS BTS-370 830050116";TRUE;0;0;"29/11/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050116"
"99";"ARKRAY AUTION MINI 304046";TRUE;0;0;"29/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"304046"
"100";"DIATRON ABACUS JR 110600";TRUE;0;0;"29/11/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110600"
"101";"ABBOTT SUNRISE ";FALSE;0;0;"28/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"102";"BIOSYSTEMS BTS-330 801342510";FALSE;0;0;"28/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801342510"
"103";"ARKRAY AUTION MINI 302083";FALSE;0;0;"28/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"302083"
"104";"BIOSYSTEMS BTS-310 801035728";FALSE;0;0;"28/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801035728"
"105";"ANULADO ANULADO 2275";TRUE;0;0;"28/11/2006";"ANULADO ANULADO";"ANULADO";"ANULADO";"2275"
"106";"BIOSYSTEMS BTS-310 801031285";TRUE;0;0;"28/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031285"
"107";"BIOSYSTEMS A-25 831010420";TRUE;0;0;"28/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010420"
"108";"BIOSYSTEMS BTS-370 830050672";TRUE;0;0;"28/11/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050672"
"109";"BIOSYSTEMS BTS-330 801340404";TRUE;0;0;"27/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340404"
"110";"BIOSYSTEMS BTS-330 801342498";TRUE;0;0;"27/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801342498"
"111";"BIOSYSTEMS BTS-310 801035595";TRUE;0;0;"27/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801035595"
"112";"BIOSYSTEMS BTS-310 801031114";TRUE;0;0;"27/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031114"
"113";"ARKRAY AUTION MINI 5019";TRUE;0;0;"27/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"5019"
"114";"BIOSYSTEMS A-25 831010517";TRUE;0;0;"27/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010517"
"115";"BIOSYSTEMS A-15 831050132";FALSE;0;0;"24/11/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050132"
"116";"BIOSYSTEMS BTS-330 801340361";TRUE;0;0;"24/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340361"
"117";"BIOSYSTEMS A-25 831011430";TRUE;0;0;"24/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011430"
"118";"ABBOTT SUNRISE 61093AF";TRUE;0;0;"24/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"61093AF"
"119";"ABBOTT AXSYM 20116";FALSE;0;0;"23/11/2006";"ABBOTT AXSYM";"ABBOTT";"AXSYM";"20116"
"120";"DIATRON ARCUS 901542";FALSE;0;0;"23/11/2006";"DIATRON ARCUS";"DIATRON";"ARCUS";"901542"
"121";"BIOSYSTEMS BTS-370 830050469";FALSE;0;0;"23/11/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050469"
"122";"ARKRAY AUTION MINI 304045";FALSE;0;0;"23/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"304045"
"123";"BIOSYSTEMS BTS-330 801340723";FALSE;0;0;"23/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340723"
"124";"BIOSYSTEMS A-25 831010345";TRUE;0;0;"23/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010345"
"125";"BIOSYSTEMS BTS-330 801341411";TRUE;0;0;"23/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801341411"
"126";"BIOSYSTEMS BTS-330 801340361";TRUE;0;0;"23/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340361"
"127";"DIATRON ABACUS JR 110763";FALSE;0;0;"23/11/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110763"
"128";"BIOSYSTEMS BTS-370 830050116";TRUE;0;0;"23/11/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050116"
"129";"BIOSYSTEMS A-25 831011430";TRUE;0;0;"23/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011430"
"130";"BIOSYSTEMS BTS-310 801034611";TRUE;0;0;"22/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801034611"
"131";"DIATRON ABACUS 801037";TRUE;0;0;"22/11/2006";"DIATRON ABACUS";"DIATRON";"ABACUS";"801037"
"132";"BIOSYSTEMS BTS-330 801340611";FALSE;0;0;"22/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340611"
"133";"BIOSYSTEMS A-15 831050132";FALSE;0;0;"22/11/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050132"
"134";"BIOSYSTEMS BTS-370 830050429";FALSE;0;0;"22/11/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050429"
"135";"BIOSYSTEMS A-25 831010529";TRUE;0;0;"22/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010529"
"136";"BIOSYSTEMS A-25 831011077";TRUE;0;0;"22/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011077"
"137";"ARKRAY AUTION MINI 9224";TRUE;0;0;"22/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"9224"
"138";"ABBOTT IMX 19269";TRUE;0;0;"21/11/2006";"ABBOTT IMX";"ABBOTT";"IMX";"19269"
"139";"BIOSYSTEMS A-25 831010495";TRUE;0;0;"21/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010495"
"140";"BIOSYSTEMS A-25 831011561";TRUE;0;0;"21/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011561"
"141";"BIOSYSTEMS BTS-310 801032975";TRUE;0;0;"21/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801032975"
"142";"DIATRON ARCUS 901445";TRUE;0;0;"20/11/2006";"DIATRON ARCUS";"DIATRON";"ARCUS";"901445"
"143";"BIOSYSTEMS BTS-330 801340814";TRUE;0;0;"20/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340814"
"144";"ABBOTT SUNRISE 61263AF";TRUE;0;0;"20/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"61263AF"
"145";"ARKRAY AUTION MINI 311077";TRUE;0;0;"20/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"311077"
"146";"ABBOTT COLUMBUS 40607044";TRUE;0;0;"20/11/2006";"ABBOTT COLUMBUS";"ABBOTT";"COLUMBUS";"40607044"
"147";"DIATRON ARCUS 901023";TRUE;0;0;"20/11/2006";"DIATRON ARCUS";"DIATRON";"ARCUS";"901023"
"148";"BIOSYSTEMS A-15 831050131";TRUE;0;0;"20/11/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050131"
"149";"BIOSYSTEMS BTS-310 801033726";TRUE;0;0;"17/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801033726"
"150";"BIOSYSTEMS A-25 831010132";TRUE;0;0;"17/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010132"
"151";"ABBOTT IMX 31002";TRUE;0;0;"17/11/2006";"ABBOTT IMX";"ABBOTT";"IMX";"31002"
"152";"BIOSYSTEMS A-25 831010345";TRUE;0;0;"17/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010345"
"153";"ABBOTT COLUMBUS 30506020";FALSE;0;0;"17/11/2006";"ABBOTT COLUMBUS";"ABBOTT";"COLUMBUS";"30506020"
"154";"ABBOTT SUNRISE 30501N96";TRUE;0;0;"17/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"30501N96"
"155";"BIOSYSTEMS A-25 831010517";TRUE;0;0;"17/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010517"
"156";"ARKRAY AUTION MINI 304046";FALSE;0;0;"17/11/2006";"ARKRAY AUTION MINI";"ARKRAY";"AUTION MINI";"304046"
"157";"BIOSYSTEMS BTS-310 801031215";TRUE;0;0;"17/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801031215"
"158";"BIOSYSTEMS BTS-310 801035665";FALSE;0;0;"17/11/2006";"BIOSYSTEMS BTS-310";"BIOSYSTEMS";"BTS-310";"801035665"
"159";"BIOSYSTEMS A-25 831010513";TRUE;0;0;"16/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010513"
"160";"ABBOTT IMX 30911";TRUE;0;0;"16/11/2006";"ABBOTT IMX";"ABBOTT";"IMX";"30911"
"161";"ABBOTT SUNRISE 30501N96";TRUE;0;0;"16/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"30501N96"
"162";"ABBOTT SUNRISE 61263AF";TRUE;0;0;"16/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";"61263AF"
"163";"BIOSYSTEMS BTS-370 830050435";TRUE;0;0;"16/11/2006";"BIOSYSTEMS BTS-370";"BIOSYSTEMS";"BTS-370";"830050435"
"164";"DIATRON ABACUS 801037";TRUE;0;0;"15/11/2006";"DIATRON ABACUS";"DIATRON";"ABACUS";"801037"
"165";"BIOSYSTEMS A-25 831010132";TRUE;0;0;"15/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010132"
"166";"DIATRON ABACUS 801037";TRUE;0;0;"15/11/2006";"DIATRON ABACUS";"DIATRON";"ABACUS";"801037"
"167";"BIOSYSTEMS A-25 831010517";TRUE;0;0;"15/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010517"
"168";"ABBOTT SUNRISE ";TRUE;0;0;"15/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"169";"BIOSYSTEMS BTS-330 801340611";FALSE;0;0;"14/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340611"
"170";"BIOSYSTEMS A-15 831050132";TRUE;0;0;"11/11/2006";"BIOSYSTEMS A-15";"BIOSYSTEMS";"A-15";"831050132"
"171";"BIOSYSTEMS A-25 831010132";FALSE;0;0;"11/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010132"
"172";"DIATRON ABACUS 801037";FALSE;0;0;"11/11/2006";"DIATRON ABACUS";"DIATRON";"ABACUS";"801037"
"173";"ABBOTT SUNRISE ";TRUE;0;0;"11/11/2006";"ABBOTT SUNRISE";"ABBOTT";"SUNRISE";""
"174";"ARKRAY POCKETCHEM 12186";TRUE;0;0;"10/11/2006";"ARKRAY POCKETCHEM";"ARKRAY";"POCKETCHEM";"12186"
"175";"DIATRON ABACUS JR 110626";TRUE;0;0;"10/11/2006";"DIATRON ABACUS JR";"DIATRON";"ABACUS JR";"110626"
"176";"ABBOTT IMX 41816";TRUE;0;0;"10/11/2006";"ABBOTT IMX";"ABBOTT";"IMX";"41816"
"177";"BIOSYSTEMS A-25 831010420";TRUE;0;0;"10/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010420"
"178";"BIOSYSTEMS A-25 831010539";TRUE;0;0;"10/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831010539"
"179";"BIOSYSTEMS BTS-330 801340491";TRUE;0;0;"09/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340491"
"180";"DIATRON ARCUS 901377";FALSE;0;0;"09/11/2006";"DIATRON ARCUS";"DIATRON";"ARCUS";"901377"
"181";"ABBOTT IMX 16607";TRUE;0;0;"09/11/2006";"ABBOTT IMX";"ABBOTT";"IMX";"16607"
"182";"DIATRON ARCUS 901249";TRUE;0;0;"09/11/2006";"DIATRON ARCUS";"DIATRON";"ARCUS";"901249"
"183";"BIOSYSTEMS BTS-330 801340188";FALSE;0;0;"08/11/2006";"BIOSYSTEMS BTS-330";"BIOSYSTEMS";"BTS-330";"801340188"
"184";"BIOSYSTEMS A-25 831011188";FALSE;0;0;"08/11/2006";"BIOSYSTEMS A-25";"BIOSYSTEMS";"A-25";"831011188"
